Date,AAPL,GOOG,MSFT,SPY,TSLA
2020-08-21,120.97691345214844,78.55406951904297,204.2489776611328,316.0960388183594,136.6653289794922
2020-08-24,122.42382049560547,78.94076538085938,204.89137268066406,319.299072265625,134.27999877929688
2020-08-25,121.41949462890625,79.93585205078125,207.5569305419922,320.4163513183594,134.8893280029297
2020-08-26,123.07068634033203,82.13079833984375,212.0442352294922,323.6288146972656,143.54466247558594
2020-08-27,121.59945678710938,81.23363494873047,217.2506561279297,324.3362731933594,149.25
2020-08-28,121.40249633789062,81.73464965820312,219.4847412109375,326.4313659667969,147.55999755859375
2020-08-31,125.51949310302734,81.22618103027344,216.24388122558594,325.2489013671875,166.10667419433594
2020-09-01,130.51927185058594,82.54483795166016,217.9122772216797,328.312255859375,158.35000610351562
2020-09-02,127.81513214111328,85.90338134765625,222.11190795898438,333.0609436035156,149.1233367919922
2020-09-03,117.58213806152344,81.60691833496094,208.35275268554688,321.59893798828125,135.6666717529297
2020-09-04,117.65995025634766,79.08192443847656,205.42835998535156,318.97320556640625,139.44000244140625
2020-09-08,109.74201965332031,76.16675567626953,194.3155975341797,310.2579650878906,110.06999969482422
2020-09-09,114.1192398071289,77.38800048828125,202.5902557373047,316.3846130371094,122.09333038330078
2020-09-10,110.39373779296875,76.14836120605469,196.91397094726562,310.89105224609375,123.77999877929688
2020-09-11,108.94439697265625,75.58670806884766,195.62916564941406,311.04931640625,124.23999786376953
2020-09-14,112.21273040771484,75.51512145996094,196.95233154296875,315.1461486816406,139.8733367919922
2020-09-15,112.38780975341797,76.61656951904297,200.18357849121094,316.73846435546875,149.9199981689453
2020-09-16,109.07084655761719,75.59563446044922,196.60714721679688,315.4815368652344,147.25332641601562
2020-09-17,107.32967376708984,74.33463287353516,194.5552520751953,312.70672607421875,141.14332580566406
2020-09-18,103.92516326904297,72.5681381225586,192.1390380859375,309.1065368652344,147.38333129882812
2020-09-21,107.07678985595703,71.13516998291016,194.2004852294922,305.66632080078125,149.79666137695312
2020-09-22,108.75957489013672,72.84002685546875,198.8795623779297,308.7794189453125,141.41000366210938
2020-09-23,104.19754791259766,70.3423843383789,192.3307647705078,301.6185302734375,126.78666687011719
2020-09-24,105.26752471923828,70.99250030517578,194.82376098632812,302.4224853515625,129.26333618164062
2020-09-25,109.21675872802734,71.82108306884766,199.2631072998047,307.311767578125,135.77999877929688
2020-09-28,111.82363891601562,72.79330444335938,200.81642150878906,312.416015625,140.39999389648438
2020-09-29,110.97735595703125,73.03238677978516,198.72616577148438,310.71453857421875,139.69000244140625
